"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170605T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0602";"0.0891";"0.0600";"0.0887";-999;-999;-999;-999;-999;-999;"0.0019";"0.0032";"0.0019";"0.0032";"1.00";"0.99";-999;-999;"0.04";"0.05"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170605T130100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170616T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.158";"0.150";"0.155";"0.148";-999;-999;-999;-999;-999;-999;"0.007";"0.012";"0.007";"0.012";"0.98";"0.98";-999;-999;"0.06";"0.11"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170616T103800Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170630T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.227";"0.233";"0.220";"0.226";-999;-999;-999;-999;-999;-999;"0.011";"0.019";"0.010";"0.018";"0.97";"0.97";-999;-999;"0.06";"0.11"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170630T104600Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170714T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.234";"0.215";"0.225";"0.207";-999;-999;-999;-999;-999;-999;"0.011";"0.017";"0.011";"0.015";"0.96";"0.96";-999;-999;"0.07";"0.11"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170714T110900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170728T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.303";"0.284";"0.284";"0.268";-999;-999;-999;-999;-999;-999;"0.021";"0.029";"0.018";"0.024";"0.94";"0.95";-999;-999;"0.09";"0.13"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170728T103900Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170811T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.298";"0.234";"0.275";"0.227";-999;-999;-999;-999;-999;-999;"0.030";"0.014";"0.024";"0.013";"0.92";"0.97";-999;-999;"0.12";"0.08"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170811T103500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170825T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.116";"0.092";"0.114";"0.091";-999;-999;-999;-999;-999;-999;"0.004";"0.006";"0.004";"0.006";"0.99";"0.99";-999;-999;"0.05";"0.09"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170825T120100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170908T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0521";"0.0474";"0.0515";"0.0467";-999;-999;-999;-999;-999;-999;"0.0023";"0.0034";"0.0022";"0.0030";"0.99";"0.99";-999;-999;"0.06";"0.09"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170908T111200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170922T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0296";"0.0314";"0.0295";"0.0312";-999;-999;-999;-999;-999;-999;"0.0009";"0.0016";"0.0009";"0.0016";"1.00";"1.00";-999;-999;"0.04";"0.07"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20170922T105300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180525T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0813";"0.099";"0.0808";"0.099";-999;-999;-999;-999;-999;-999;"0.0024";"0.004";"0.0024";"0.004";"0.99";"0.99";-999;-999;"0.04";"0.06"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180525T102700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180608T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.194";"0.197";"0.186";"0.190";-999;-999;-999;-999;-999;-999;"0.012";"0.017";"0.011";"0.015";"0.96";"0.97";-999;-999;"0.08";"0.12"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180622T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.203";"0.214";"0.198";"0.209";-999;-999;-999;-999;-999;-999;"0.008";"0.015";"0.008";"0.013";"0.98";"0.98";-999;-999;"0.06";"0.09"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180622T124200Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180706T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.271";"0.281";"0.261";"0.275";-999;-999;-999;-999;-999;-999;"0.011";"0.012";"0.010";"0.011";"0.96";"0.98";-999;-999;"0.06";"0.06"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180706T093500Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180720T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.163";"0.176";"0.155";"0.163";-999;-999;-999;-999;-999;-999;"0.009";"0.024";"0.007";"0.017";"0.95";"0.93";-999;-999;"0.07";"0.16"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180720T093300Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180803T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.166";"0.155";"0.158";"0.142";-999;-999;-999;-999;-999;-999;"0.009";"0.021";"0.007";"0.014";"0.95";"0.92";-999;-999;"0.07";"0.16"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180817T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.091";"0.088";"0.089";"0.087";-999;-999;-999;-999;-999;-999;"0.004";"0.005";"0.004";"0.005";"0.98";"0.99";-999;-999;"0.06";"0.07"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180817T092100Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180831T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0604";"0.067";"0.0598";"0.067";-999;-999;-999;-999;-999;-999;"0.0024";"0.004";"0.0023";"0.004";"0.99";"0.99";-999;-999;"0.06";"0.08"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180831T094400Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180914T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0365";"0.0472";"0.0364";"0.0469";-999;-999;-999;-999;-999;-999;"0.0015";"0.0030";"0.0015";"0.0030";"1.00";"0.99";-999;-999;"0.06";"0.09"
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180914T091700Z";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;
"GBOV_RM7_360";"Niwot Ridge Mountain Research Station";"Katherine N. Suding";"suding@colorado.edu";"support-copernicus-gbov@acri-st.fr";"NEON";"3050";"Evergreen Needleleaf";40.0543;-105.58245;"20180928T000000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0299";"0.0408";"0.0298";"0.0406";-999;-999;-999;-999;-999;-999;"0.0009";"0.0024";"0.0009";"0.0023";"1.00";"1.00";-999;-999;"0.04";"0.08"
